N,Log_2(N),Sorted,Balanced,Scrambled #1, Scrambled #2, Scrambled #3, Scrambled #4, Scrambled #5
1,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1
3,1.58496,2,1,2,1,1,2,2
4,2,3,2,3,2,2,2,3
5,2.32193,4,2,4,3,2,3,4
6,2.58496,5,2,4,3,2,4,4
7,2.80735,6,2,4,3,3,4,4
8,3,7,3,5,3,3,4,4
9,3.16993,8,3,5,3,3,5,4
10,3.32193,9,3,6,3,3,6,4
11,3.45943,10,3,6,3,4,6,5
12,3.58496,11,3,6,4,4,6,5
13,3.70044,12,3,6,4,4,6,5
14,3.80735,13,3,6,4,4,7,5
15,3.90689,14,3,6,4,4,7,5
16,4,15,4,6,4,4,7,6
17,4.08746,16,4,7,5,4,7,6
18,4.16993,17,4,7,5,4,8,6
19,4.24793,18,4,7,5,5,8,6
20,4.32193,19,4,8,5,5,8,6
21,4.39232,20,4,8,5,5,8,6
22,4.45943,21,4,8,5,5,8,6
23,4.52356,22,4,8,6,6,9,6
24,4.58496,23,4,8,6,6,10,6
25,4.64386,24,4,8,6,6,10,6
26,4.70044,25,4,8,6,6,10,6
27,4.75489,26,4,8,6,6,10,6
28,4.80735,27,4,8,6,7,11,6
29,4.85798,28,4,8,6,7,11,6
30,4.90689,29,4,8,6,7,11,6
31,4.9542,30,4,8,7,7,11,6
32,5,31,5,8,7,7,11,6
33,5.04439,32,5,8,7,7,11,6
34,5.08746,33,5,8,7,7,11,6
35,5.12928,34,5,8,7,7,11,6
36,5.16993,35,5,8,7,7,11,7
37,5.20945,36,5,8,8,7,11,7
38,5.24793,37,5,8,8,7,11,8
39,5.2854,38,5,8,8,7,11,8
40,5.32193,39,5,8,8,7,11,8
41,5.35755,40,5,8,8,7,11,8
42,5.39232,41,5,8,8,7,11,8
43,5.42626,42,5,9,8,7,11,8
44,5.45943,43,5,9,8,7,11,9
45,5.49185,44,5,9,8,7,11,9
46,5.52356,45,5,9,9,7,11,9
47,5.55459,46,5,9,9,7,11,10
48,5.58496,47,5,9,9,8,11,10
49,5.61471,48,5,9,9,8,11,10
50,5.64386,49,5,9,9,8,11,10
51,5.67243,50,5,9,9,8,11,10
52,5.70044,51,5,9,9,8,11,10
53,5.72792,52,5,9,9,8,11,10
54,5.75489,53,5,10,9,8,11,10
55,5.78136,54,5,10,9,8,11,10
56,5.80735,55,5,10,10,8,12,10
57,5.83289,56,5,10,10,8,12,10
58,5.85798,57,5,10,11,8,12,10
59,5.88264,58,5,10,11,8,12,10
60,5.90689,59,5,10,11,8,12,10
61,5.93074,60,5,10,11,8,12,10
62,5.9542,61,5,10,11,8,12,10
63,5.97728,62,5,11,11,8,12,10
64,6,63,6,11,11,8,12,11
65,6.02237,64,6,11,11,9,12,11
66,6.04439,65,6,11,11,9,12,11
67,6.06609,66,6,11,11,9,12,11
68,6.08746,67,6,11,11,9,12,11
69,6.10852,68,6,11,11,9,12,11
70,6.12928,69,6,11,11,9,12,11
71,6.14975,70,6,11,11,9,12,11
72,6.16993,71,6,11,11,9,12,11
73,6.18982,72,6,11,11,9,12,11
74,6.20945,73,6,11,11,9,12,11
75,6.22882,74,6,11,12,9,12,11
76,6.24793,75,6,11,12,9,12,11
77,6.26679,76,6,11,12,9,12,11
78,6.2854,77,6,11,12,9,12,11
79,6.30378,78,6,12,12,9,12,11
80,6.32193,79,6,12,12,9,13,11
81,6.33985,80,6,12,12,9,13,11
82,6.35755,81,6,12,12,9,13,11
83,6.37504,82,6,12,12,9,13,11
84,6.39232,83,6,12,12,9,13,11
85,6.40939,84,6,12,12,9,13,11
86,6.42626,85,6,12,12,9,13,12
87,6.44294,86,6,12,12,10,13,12
88,6.45943,87,6,12,12,10,13,12
89,6.47573,88,6,12,12,10,13,12
90,6.49185,89,6,12,12,10,13,12
91,6.50779,90,6,12,12,10,13,12
92,6.52356,91,6,12,12,10,13,12
93,6.53916,92,6,12,12,10,13,12
94,6.55459,93,6,12,12,11,13,12
95,6.56986,94,6,13,12,11,13,12
96,6.58496,95,6,13,12,11,13,12
97,6.59991,96,6,13,12,11,13,12
98,6.61471,97,6,13,12,11,13,12
99,6.62936,98,6,13,12,11,13,12
100,6.64386,99,6,13,12,11,13,12
101,6.65821,100,6,13,12,11,13,12
102,6.67243,101,6,13,12,11,13,12
103,6.6865,102,6,13,12,12,13,12
104,6.70044,103,6,13,12,12,13,12
105,6.71425,104,6,13,12,12,13,12
106,6.72792,105,6,13,12,12,13,12
107,6.74147,106,6,13,12,12,13,12
108,6.75489,107,6,13,12,12,13,12
109,6.76818,108,6,13,12,12,13,12
110,6.78136,109,6,13,12,12,13,12
111,6.79442,110,6,13,12,12,13,12
112,6.80735,111,6,13,12,12,13,12
113,6.82018,112,6,13,12,12,13,12
114,6.83289,113,6,13,12,12,13,12
115,6.84549,114,6,13,12,12,13,12
116,6.85798,115,6,13,12,12,13,12
117,6.87036,116,6,13,12,12,14,12
118,6.88264,117,6,13,12,12,14,12
119,6.89482,118,6,13,12,12,14,12
120,6.90689,119,6,13,12,12,14,12
121,6.91886,120,6,13,12,12,14,12
122,6.93074,121,6,13,12,12,14,12
123,6.94251,122,6,13,12,12,14,12
124,6.9542,123,6,13,12,12,14,12
125,6.96578,124,6,13,12,12,14,12
126,6.97728,125,6,13,12,12,14,12
127,6.98868,126,6,13,12,12,15,12
128,7,127,7,13,12,12,15,12
129,7.01123,128,7,13,13,12,15,12
130,7.02237,129,7,13,13,12,15,12
131,7.03342,130,7,13,13,12,15,12
132,7.04439,131,7,13,13,12,15,12
133,7.05528,132,7,13,13,12,15,12
134,7.06609,133,7,13,13,12,15,12
135,7.07682,134,7,13,13,12,15,12
136,7.08746,135,7,13,13,12,15,12
137,7.09803,136,7,13,14,12,15,12
138,7.10852,137,7,13,14,12,15,12
139,7.11894,138,7,13,14,12,15,12
140,7.12928,139,7,13,14,12,15,12
141,7.13955,140,7,13,14,12,15,12
142,7.14975,141,7,13,14,12,15,13
143,7.15987,142,7,13,14,12,15,13
144,7.16993,143,7,13,14,12,15,13
145,7.17991,144,7,13,14,12,15,13
146,7.18982,145,7,13,14,12,15,13
147,7.19967,146,7,13,14,12,15,13
148,7.20945,147,7,13,14,12,15,13
149,7.21917,148,7,13,14,12,15,13
150,7.22882,149,7,13,14,12,15,13
151,7.2384,150,7,13,14,12,15,13
152,7.24793,151,7,13,14,12,15,13
153,7.25739,152,7,13,14,12,15,13
154,7.26679,153,7,13,14,12,15,13
155,7.27612,154,7,13,14,12,15,13
156,7.2854,155,7,13,14,12,15,13
157,7.29462,156,7,13,14,12,15,14
158,7.30378,157,7,13,14,12,15,14
159,7.31288,158,7,13,14,12,15,14
160,7.32193,159,7,13,14,12,15,14
161,7.33092,160,7,13,14,12,15,14
162,7.33985,161,7,13,14,12,15,14
163,7.34873,162,7,13,14,12,15,14
164,7.35755,163,7,13,14,12,15,14
165,7.36632,164,7,13,14,12,15,14
166,7.37504,165,7,13,14,12,15,15
167,7.3837,166,7,13,14,12,15,15
168,7.39232,167,7,13,14,12,15,15
169,7.40088,168,7,13,14,12,15,15
170,7.40939,169,7,13,14,12,15,15
171,7.41785,170,7,13,14,12,15,15
172,7.42626,171,7,13,14,12,15,15
173,7.43463,172,7,13,14,12,15,15
174,7.44294,173,7,13,14,12,15,15
175,7.45121,174,7,14,14,12,15,15
176,7.45943,175,7,14,14,12,15,15
177,7.46761,176,7,14,14,12,15,15
178,7.47573,177,7,14,14,12,15,15
179,7.48382,178,7,14,14,12,15,16
180,7.49185,179,7,14,14,12,15,16
181,7.49985,180,7,14,14,12,15,16
182,7.50779,181,7,14,14,12,16,16
183,7.5157,182,7,14,14,12,16,16
184,7.52356,183,7,14,14,12,16,16
185,7.53138,184,7,14,14,12,16,16
186,7.53916,185,7,14,14,12,16,16
187,7.54689,186,7,14,14,12,16,16
188,7.55459,187,7,14,14,12,16,16
189,7.56224,188,7,14,14,12,16,16
190,7.56986,189,7,14,14,12,16,16
191,7.57743,190,7,14,14,12,16,16
192,7.58496,191,7,14,14,12,16,16
193,7.59246,192,7,14,14,12,16,16
194,7.59991,193,7,14,14,12,16,16
195,7.60733,194,7,14,14,12,16,16
196,7.61471,195,7,14,14,12,16,16
197,7.62205,196,7,14,14,12,16,16
198,7.62936,197,7,14,14,12,16,16
199,7.63662,198,7,14,14,12,16,16
200,7.64386,199,7,14,14,12,16,16
201,7.65105,200,7,14,14,12,16,16
202,7.65821,201,7,14,14,12,16,16
203,7.66534,202,7,14,14,12,16,16
204,7.67243,203,7,14,14,12,16,16
205,7.67948,204,7,14,14,12,16,16
206,7.6865,205,7,14,14,12,16,16
207,7.69349,206,7,14,14,12,16,16
208,7.70044,207,7,14,14,12,17,16
209,7.70736,208,7,14,14,12,17,16
210,7.71425,209,7,14,14,12,17,16
211,7.7211,210,7,14,14,12,17,16
212,7.72792,211,7,14,14,12,17,16
213,7.73471,212,7,14,14,12,17,16
214,7.74147,213,7,14,14,12,17,16
215,7.74819,214,7,14,14,12,17,16
216,7.75489,215,7,14,14,13,17,16
217,7.76155,216,7,14,14,13,17,16
218,7.76818,217,7,14,14,13,17,16
219,7.77479,218,7,14,14,13,17,16
